Club Name: 13th Round Fight for Life, City: Toronto
Club Name: Abomb Boxing, City: Windsor
Club Name: AFT Boxing Academy Brantford, City: Brantford
Club Name: Ajax Boxing Club, City: Ajax
Club Name: Amazing Fitness Clubs Inc., City: Hamilton
Club Name: Ashukian's Academy of Boxing, City: Scarborough
Club Name: Atlas Boxing Club, City: Toronto
Club Name: Bay Area Athletic Club, City: Burlington
Club Name: Beaver Boxing Club, City: Ottawa
Club Name: Bell City Boxing Club, City: Brantford
Club Name: Black Dog Boxing Club, City: Courtice
Club Name: Black Tigers Gym, City: Toronto
Club Name: Blands Boxing Club, City: Welland
Club Name: Blaze Performance Training Inc., City: Orangeville
Club Name: Bloor Street Boxing, City: Toronto
Club Name: Blue Collar Boxing Academy, City: Windsor
Club Name: Bluewater Boxing Club, City: Sarnia
Club Name: BODY BY DEX STUDIO, City: Toronto
Club Name: Boomerz Boxing Club, City: London
Club Name: Border City Boxing Club, City: Windsor
Club Name: Boxing Without Barriers, City: Ottawa
Club Name: Bramalea Boxing Club, City: Brampton
Club Name: Brampton Boxing, City: Brampton
Club Name: Brampton Boxing Gym, City: Brampton
Club Name: Brantford Blackeye Boxing Club, City: Brantford
Club Name: BUDO Canada, City: Toronto
Club Name: Bulldog Boxing & MMA Academy Limited, City: Mississauga
Club Name: Bulldog Boxing & MMA Academy, City: Mississauga
Club Name: Bulldog Boxing Academy, City: Belleville
Club Name: Bushido Boxing, City: London
Club Name: Cabbagetown Boxing Club, City: Toronto
Club Name: Cardoso Boxing Club, City: Milton
Club Name: Champion Boxing Club, City: Toronto
Club Name: Championship City Boxing Club, City: St. Thomas
Club Name: Champs Eastside Boxing Club, City: Cornwall
Club Name: Cheriki Academy, City: Richmond Hill
Club Name: City Boxing Club, City: Niagara Falls
Club Name: Comodus Boxing Club Ltd., City: Perth
Club Name: Corcoran’s Boxing Club & Fitness Centre, City: Peterborough
Club Name: DC Boxing Academy, City: Guelph
Club Name: Delgado Boxing Battle Arts Academy, City: Mississauga
Club Name: Destiny Boxing, City: Kitchener
Club Name: Dewith Frazer Boxing & Fitness Inc., City: Mississauga
Club Name: Diamond Fitness MMA, City: Napanee
Club Name: Dog Pound Boxing Academy, City: Belleville
Club Name: Eastside Boxing & Wellness, City: Oshawa
Club Name: Favela Training Center, City: Toronto
Club Name: Fearless Boxing Club, City: Toronto
Club Name: Fearless MMA, City: Aurora
Club Name: Fighting Island, City: Amherstburg
Club Name: First Strike Boxing, City: London
Club Name: Gideon Boxing Academy, City: Scarborough
Club Name: Girls Just Wanna Box, City: Scarborough
Club Name: Glory MMA, City: Vaughan
Club Name: Gloves Up Boxing, City: Toronto
Club Name: GOLD SPORT LIFE INC., City: Vaughan
Club Name: Golden Tiger, City: Hanover
Club Name: Grant Boxing Gym, City: Toronto
Club Name: Guelph MMA, City: Guelph
Club Name: HUF GYM INC, City: Mississauga
Club Name: InsightX Boxing, City: Scarborough
Club Name: Jamestown Boxing Club, City: Oshawa
Club Name: JTI Boxing, City: Oakville
Club Name: K.O. Club Martial Arts & Fitness Inc., City: Maple
Club Name: Kent Athletic Youth Organization, City: Chatham
Club Name: Kingston Youth Boxing Club, City: Kingston
Club Name: Kingsway Boxing Club, City: Toronto
Club Name: Knockout Brampton Boxing, City: Brampton
Club Name: Kombat Arts Training Academy Inc., City: Mississauga
Club Name: Leading Edge Boxing, City: Thunder Bay
Club Name: Legends MMA, City: Brampton
Club Name: M.P.T Fitness and Boxing, City: London
Club Name: MARTIAL ARTS FITNESS ACADEMY (MAFA), City: Mississauga
