REGISTRATION DATE,EVENT,DOJO NAME,DOJO LOCATION ADDRESS,DOJO LOCATION TOWN/CITY,STYLE(S) PRACTICED,HEAD INSTRUCTOR FIRST NAME
2023-01-18 10:02,Active Club,Arun Martial Arts,6415 Erin Mills Parkway  #B03,Mississauga,Shito Ryu,Arun
2023-09-14 17:55,Active Club,Caledon Karate,150 Queen St South,Bolton,Shotokan,Vincenzo
2023-01-21 18:52,Active Club,Classical Martial Arts Centre Yamazakura Dojo,2 Wembley Road,Toronto,Goju Ryu,Simonetta
2023-01-07 20:06,Active Club,Dai JuSan GKK Canada,4390 Concession 4 S,Amherstburg,Goju Ryu,Paul
2023-01-03 17:21,Active Club,Diamond Karate Academy,45 Heritage Street,Bradford,Shotokan,ALEKSANDAR
2023-01-11 14:29,Active Club,Ferris Family Karate,540 Lakeshore Drive,North Bay,Shotokan,Adam
2023-08-18 22:34,Active Club,Joe Gallay,96 Pheasant Drive,Bolton,Chito Ryu Shotokan,JohnCarlo
2023-05-02 15:52,Active Club,Kapuskasing shotokan karat�,�cole Jacques Cartier 8chemin Brunelle sud,Kapuskasing,Shotokan,Paul
2023-08-22 18:57,Active Club,KOC,1264 Victoria Street North,Kitchener,Shito Ryu,Samira
2023-06-19 13:17,Active Club,Lao Karate Do,1557 Pelhanm Street North  Holy Trinity Angelican Church,Fonthill  ,Shotokan,Wenceslao
2023-10-01 23:35,Active Club,LONDON KARATE CENTRE,247 Adelaide St S,London,Shito Ryu,Viktoriya
2023-01-21 13:26,Active Club,NORTH TORONTO KARATE SCHOOL HIGH PARK,2233 Dundas St West,Toronto  ,Shito Ryu Shotokan,Rose
2023-09-19 19:45,Active Club,Silent Tiger Martial Arts,11 temperance st,Bowmanville ,,Ryan
2023-10-12 12:16,Active Club,Special Olympics Burlington,3005 Headon Forest Drive,Burlington,Shotokan,Blake
2023-10-12 11:38,Active Club,Tora Karate,1295 Williams Parkway,Brampton,Wado Ryu,Michael
2022-12-28 11:32,Active Club,Toronto West End Wado,50 Sousa Mendes Street,Toronto,Wado Ryu,Domenico
2022-12-01 10:26,Active Club,Shiva Fighters Karate Do,Unit:56 - 2720 North Park Drive,Brampton,Shito Ryu,Giselle
2022-12-01 15:40,Active Club,6Tigers Academy,1142 Johnston Clapp Lane  Unit A,Manotick,Shotokan,Janet
